vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
BMW,X5 xDRIVE 40i (7 ASIENTOS),RURAL,4x4,BMW B58B30C,2998,,AUTOMATICA,NAFTA,EURO VI b,,9/1/2019,201844716,DEKRA,215,116,82,94,94
BMW,X4 M40i,SEDAN 5 PUERTAS,4x4,BMW B58B30A,2998,,AUTOMATICA,NAFTA,EURO VI c,,17/10/2018,201743801,DEKRA,210,116,78,92,92
AUDI,RS5 – RS5 COUPÉ,COUPE2 PUERTAS,4x4,AUDI DECA,2894,,MANUAL,NAFTA,304,,26/04/2019,AUA5390C,ATE-EL LUXEMBOURG,199,116,72,88,88
MERCEDES-BENZ,C 400 4MATIC,SEDAN 4 PUERTAS - COUPE2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,MANUAL,NAFTA,EURO VI b,,3/4/2019,42.04.1419.02,TÜV NORD Mobil,188,116,63,83,83
FORD,ECOSPORT,SUV,4x4,FORD 2.0L GDI,1999,125,MANUAL,NAFTA,EURO V,,25/04/2018,TR83-USS357051 Rev. 1,VCA,20043,1165,693,865,865
CHEVROLET,S10 2.8,PICK UP,4x2, 4x4,1200,2776,AUTOMATICA,GAS OIL,EURO V,,859,19/04/2021,US20120011,244,117,79,93,
FORD,RANGER,PICK UP,4x4,FORD 3.2L GAS OIL (SA2S),3198,147,AUTOMATICA,GAS OIL,EURO V,556,10/1/2020,OSQ319373(13),VCA,240,117,76,91,91
MERCEDES-BENZ,MERCEDES-AMG GLE 53 4MATIC+ (167.361),FAMILIAR 4 PUERTAS,4x4,MERCEDES BENZ 256.930 / MELCO EM0014,2999,320,AUTOMATICA,ELECTRICIDAD,EURO VI,691,23/07/2020,42.04.1462.01,TÜV NORD,212,117,79,93,93
LIFAN,X70,SUV,4x2,LIFAN LF483Q,1998,,MANUAL,NAFTA,EURO V,,6/2/2018,89-R83-527/17-00,TÜV Rheinland,207,117,69,87,87
SHINERAY,X7,FAMILIAR RURAL,4x2,SHINERAY DLEG18,1794,,MANUAL,NAFTA,EURO V,,11/6/2018,17-00190-CP-511A-00,TÜV SÜD Auto Service,207,117,69,87,87
