Ticket ID;Open Time @Timezone;Resolved Time @Timezone
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69480100;18/05/2019 10:31;
IM69480100;18/05/2019 10:31;
IM69480100;18/05/2019 10:31;
IM69480112;18/05/2019 11:39;
IM69480112;18/05/2019 11:39;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69510524;20/05/2019 14:22;
IM69513355;20/05/2019 20:23;
IM69513355;20/05/2019 20:23;
IM69513355;20/05/2019 20:23;
IM69513355;20/05/2019 20:23;
IM69536496;21/05/2019 15:31;
IM69536496;21/05/2019 15:31;
IM69536496;21/05/2019 15:31;
IM69671790;28/05/2019 21:47;
IM69671790;28/05/2019 21:47;
IM69671790;28/05/2019 21:47;
IM69671790;28/05/2019 21:47;
IM69671790;28/05/2019 21:47;
IM69671790;28/05/2019 21:47;
IM69671790;28/05/2019 21:47;
IM69700336;30/05/2019 09:56;01/10/2019 11:46
IM69700336;30/05/2019 09:56;01/10/2019 11:46
IM69700852;30/05/2019 08:26;
IM69700852;30/05/2019 08:26;
IM69700852;30/05/2019 08:26;
IM69719760;31/05/2019 15:16;
IM69719760;31/05/2019 15:16;
IM69719760;31/05/2019 15:16;
IM69719760;31/05/2019 15:16;
IM69719760;31/05/2019 15:16;
IM69726763;01/06/2019 19:02;
IM69726763;01/06/2019 19:02;
IM69726763;01/06/2019 19:02;
IM69726763;01/06/2019 19:02;
IM69726763;01/06/2019 19:02;
IM69726763;01/06/2019 19:02;
IM69726763;01/06/2019 19:02;
IM69731036;02/06/2019 13:24;
IM69731036;02/06/2019 13:24;
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69802367;05/06/2019 10:37;20/09/2019 09:42
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69854597;08/06/2019 09:46;
IM69873393;10/06/2019 17:32;
IM69873393;10/06/2019 17:32;
IM69873393;10/06/2019 17:32;
IM69873393;10/06/2019 17:32;
IM69873393;10/06/2019 17:32;
IM69896672;11/06/2019 15:26;
IM69896672;11/06/2019 15:26;
IM69896672;11/06/2019 15:26;
IM69896672;11/06/2019 15:26;
IM69919046;12/06/2019 11:32;
IM69919046;12/06/2019 11:32;
IM69919046;12/06/2019 11:32;
IM69919046;12/06/2019 11:32;
IM69919046;12/06/2019 11:32;
IM69919046;12/06/2019 11:32;
IM69919046;12/06/2019 11:32;
IM69967262;14/06/2019 16:47;
IM69967262;14/06/2019 16:47;
IM69967262;14/06/2019 16:47;
IM69967262;14/06/2019 16:47;
IM70006877;17/06/2019 23:34;
IM70006877;17/06/2019 23:34;
IM70028587;18/06/2019 18:43;
IM70028587;18/06/2019 18:43;
IM70028587;18/06/2019 18:43;
IM70028587;18/06/2019 18:43;
IM70028587;18/06/2019 18:43;
IM70029042;18/06/2019 17:15;19/06/2019 10:37
IM70029042;18/06/2019 17:15;19/06/2019 10:37
IM70029042;18/06/2019 17:15;19/06/2019 10:37
IM70029042;18/06/2019 17:15;19/06/2019 10:37
IM70029042;18/06/2019 17:15;19/06/2019 10:37
IM70029042;18/06/2019 17:15;19/06/2019 10:37
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70048068;19/06/2019 12:00;
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70085151;21/06/2019 15:24;16/09/2019 08:28
IM70110586;24/06/2019 08:26;
