vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
ALFA ROMEO,GIULIA,BERLINA,4x2,ALFA ROMEO 55273835,1995,,MANUAL,NAFTA,EURO VI,,9/8/2017,F0621/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,199.7,12.94,6.12,8.65,8.65
TOYOTA,CAMRY,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FKS,3456,,MANUAL,NAFTA,EURO V,,1/9/2017,H1760161643/411 TR,VINÇOTTE nv,206,13.0,6.7,9.0,9.0
TOYOTA,CAMRY,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FKS,3456,,MANUAL,NAFTA,EURO V,,,H1760161643/411 TR,VINÇOTTE nv,206,13.0,6.7,9.0,9.0
HYUNDAI,HD35L,COMERCIAL LIVIANO,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,27/04/2018,KSS384808 (9163, 3776),276.19,13.01,9.00,10.51,
LEXUS,RC350,COUPÉ,4x2,TOYOTA 2GR-FKS,3456,232,MANUAL,NAFTA,EURO V,,23/04/2019,JST395095,VCA,213.33,13.1,6.86,9.15,9.15
LIFAN,M7,RURAL 5 PUERTAS,4x2,LIFAN LF483Q,1988,,AUTOMATICA,NAFTA,EURO V,,1/10/2018,89-R101-379/18-00,TÜV Rheinland,233,13.1,8.2,10.0,10.0
JEEP,CHEROKEE LIMITED. CHEROKEE SPORT. CHEROKEE LONGITUDE,BERLINA,4x4,FCA X,3239,,AUTOMATICA,NAFTA,EURO VI a,,18/12/2018,RDW-715/2007-0045713,RDW,226,13.1,7.7,9.7,9.7
BORGWARD,BX7,SEDÁN,4x4,BORGWARD BWE420B,1981,,MANUAL,NAFTA,EURO V,,25/07/2018,CN16060399,IDIADA,235.11,13.2,7.89,9.83,9.83
BMW,M3 COMPETITION / M4 COMPETITION,SEDÁN 4 PUERTAS / COUPÉ,4x2,BMW S58B30A,2993,11.15,AUTOMATICA,NAFTA,EURO VI,882,4/6/2021,20-00040-CZ-GBM-00,TÜV SÜD ,221,13.2,7.5,9.6,9.6
CHANGAN,CS75,RURAL,4x4,CHANGAN JL486ZQ2,1798,,MANUAL,NAFTA,EURO V,,25/07/2018,CN16030400 EXTENSION 01,IDIADA,244,13.3,8.5,10.3,10.3
