No.;Ticket ID;Current Status;Title;Open Time @Timezone;Resolved Time @Timezone;Close Time @Timezone;Master/ Child;CI Name;CI ID;CI Type;CI Subtype;CI Location;CI Environment;Layer 1;Layer 2;Layer 3;Ticket Type;Update Time @Timezone;Service Class;Prio;Impact;Urgency;Cause Code;Reference ID;Location;Department;Call Code;Reported Date @Timezone;VW Completion Group;Active Flag;Open Group;Closed Group;Resolved Group;Current Assignment;VW Solution ID;Marked as Knowledge Candidate;VW Outage Time From;VW Outage Time To;External;History Assignment;History Previous Assignment;History Post Assignment;History Status;History Start Time;History End Time;History Transfer ID
761;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;05/06/2019 14:43:30;05/06/2019 14:46:54;6
762;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;05/06/2019 14:46:54;15/08/2019 12:22:32;5
763;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;15/08/2019 12:22:32;15/08/2019 12:23:16;7
764;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;;Wait on External;15/08/2019 12:23:16;;6
765;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;OPS SD Service Desk Argentina;AMS SAP FI-CO Support Argentina;Transferred;05/05/2019 09:45:10;06/05/2019 09:10:43;1
766;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;06/05/2019 09:10:43;06/05/2019 09:11:15;2
767;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;06/05/2019 09:11:15;06/05/2019 20:30:50;1
768;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;06/05/2019 20:30:50;06/05/2019 20:31:29;3
769;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;06/05/2019 20:31:29;23/05/2019 18:41:09;2
770;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;23/05/2019 18:41:09;23/05/2019 18:42:31;4
771;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;23/05/2019 18:42:31;28/06/2019 19:27:34;3
772;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;28/06/2019 19:27:34;28/06/2019 19:28:28;5
773;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;28/06/2019 19:28:28;15/08/2019 12:34:26;4
774;IM69222464;Wait on External;SAP FI (P-59) - PROBLEMAS CON TRANSACCION;05/05/2019 09:41:26;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;User Administration;;;Service Request;15/08/2019 12:34:57;2;8;4;2;;;CIP;F/c-ia02;E-mail;03/05/2019 15:01:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;15/08/2019 12:34:26;15/08/2019 12:34:57;6
